Provider Number,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
10022,Centre,AL,35960,CHEROKEE,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,9 out of 10,0 out of 9,9 out of 10,5 out of 10,0 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,7 out of 10,0 out of 9,7 out of 10,8 out of 10,0 out of 9,8 out of 10,5 out of 10,0 out of 9,5 out of 10,55,20
10023,Montgomery,AL,36116,MONTGOMERY,2 out of 10,3 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,16,17
10024,Montgomery,AL,36106,MONTGOMERY,3 out of 10,0 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,4 out of 10,1 out of 9,4 out of 10,3 out of 10,4 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,30,20
10029,Opelika,AL,36801,LEE,5 out of 10,0 out of 9,5 out of 10,8 out of 10,1 out of 9,8 out of 10,4 out of 10,1 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,7 out of 10,0 out of 9,7 out of 10,6 out of 10,3 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,45,20
10032,Wedowee,AL,36278,RANDOLPH,4 out of 10,1 out of 9,4 out of 10,4 out of 10,4 out of 9,4 out of 10,8 out of 10,7 out of 9,8 out of 10,3 out of 10,5 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,7 out of 10,2 out of 9,7 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,33,19
10033,Birmingham,AL,35249,JEFFERSON,7 out of 10,6 out of 9,7 out of 10,6 out of 10,3 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,6 out of 10,4 out of 9,6 out of 10,7 out of 10,5 out of 9,7 out of 10,4 out of 10,2 out of 9,4 out of 10,5 out of 10,3 out of 9,5 out of 10,9 out of 10,8 out of 9,9 out of 10,47,20
10034,Tallassee,AL,36078,ELMORE,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,0 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,8 out of 10,0 out of 9,8 out of 10,7 out of 10,4 out of 9,7 out of 10,9 out of 10,9 out of 9,9 out of 10,6 out of 10,5 out of 9,6 out of 10,59,20
10035,Cullman,AL,35058,CULLMAN,5 out of 10,3 out of 9,5 out of 10,7 out of 10,5 out of 9,7 out of 10,4 out of 10,3 out of 9,4 out of 10,7 out of 10,0 out of 9,7 out of 10,4 out of 10,3 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,2 out of 10,3 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,38,20
10036,Andalusia,AL,36420,COVINGTON,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,6 out of 10,1 out of 9,6 out of 10,4 out of 10,4 out of 9,4 out of 10,5 out of 10,1 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,24,17
10038,Anniston,AL,36207,CALHOUN,0 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,8,11
10039,Huntsville,AL,35801,MADISON,3 out of 10,1 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,6 out of 10,5 out of 9,6 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,27,20
10040,Gadsden,AL,35903,ETOWAH,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,10,19
10044,Hamilton,AL,35570,MARION,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,8 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,4 out of 9,4 out of 10,9 out of 10,7 out of 9,9 out of 10,72,20
10045,Fayette,AL,35555,FAYETTE,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,80,20
10046,Gadsden,AL,35901,ETOWAH,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,3,12
10047,Georgiana,AL,36033,BUTLER,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,0 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,7 out of 9,7 out of 10,7 out of 10,0 out of 9,7 out of 10,69,20
10049,Enterprise,AL,36330,COFFEE,3 out of 10,0 out of 9,3 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,2 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,24,20
10052,Dadeville,AL,36853,TALLAPOOSA,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,3 out of 9,6 out of 10,3 out of 10,6 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,21,13
10054,Decatur,AL,35601,MORGAN,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6,15
10055,Dothan,AL,36302,HOUSTON,3 out of 10,0 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,6 out of 10,0 out of 9,6 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,3 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,32,20
10056,Birmingham,AL,35205,JEFFERSON,4 out of 10,1 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,6 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,31,20
10059,Moulton,AL,35650,LAWRENCE,6 out of 10,0 out of 9,6 out of 10,10 out of 10,0 out of 9,10 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,2 out of 9,5 out of 10,2 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,31,18
10061,Scottsboro,AL,35768,JACKSON,4 out of 10,4 out of 9,4 out of 10,8 out of 10,5 out of 9,8 out of 10,4 out of 10,1 out of 9,4 out of 10,1 out of 10,1 out of 9,1 out of 10,7 out of 10,7 out of 9,7 out of 10,5 out of 10,4 out of 9,5 out of 10,4 out of 10,6 out of 9,6 out of 10,3 out of 10,5 out of 9,5 out of 10,40,20
10062,Geneva,AL,36340,GENEVA,2 out of 10,4 out of 9,4 out of 10,6 out of 10,5 out of 9,6 out of 10,3 out of 10,5 out of 9,5 out of 10,5 out of 10,7 out of 9,7 out of 10,2 out of 10,4 out of 9,4 out of 10,1 out of 10,2 out of 9,2 out of 10,2 out of 10,5 out of 9,5 out of 10,0 out of 10,3 out of 9,3 out of 10,36,17
10065,Alexander City,AL,35010,TALLAPOOSA,8 out of 10,2 out of 9,8 out of 10,8 out of 10,1 out of 9,8 out of 10,7 out of 10,5 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,9 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,7 out of 10,0 out of 9,7 out of 10,59,20
10069,Eufaula,AL,36027,BARBOUR,5 out of 10,6 out of 9,6 out of 10,7 out of 10,6 out of 9,7 out of 10,1 out of 10,2 out of 9,2 out of 10,3 out of 10,5 out of 9,5 out of 10,4 out of 10,4 out of 9,4 out of 10,6 out of 10,0 out of 9,6 out of 10,3 out of 10,6 out of 9,6 out of 10,0 out of 10,3 out of 9,3 out of 10,39,19
10073,Ashland,AL,36251,CLAY,5 out of 10,0 out of 9,5 out of 10,10 out of 10,0 out of 9,10 out of 10,9 out of 10,4 out of 9,9 out of 10,9 out of 10,8 out of 9,9 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,4 out of 10,4 out of 9,4 out of 10,5 out of 10,2 out of 9,5 out of 10,48,19
10078,Anniston,AL,36207,CALHOUN,1 out of 10,1 out of 9,1 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,14,18
10079,Athens,AL,35611,LIMESTONE,5 out of 10,4 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,5 out of 9,5 out of 10,6 out of 10,6 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,3 out of 10,4 out of 9,4 out of 10,32,20
10083,Foley,AL,36535,BALDWIN,5 out of 10,6 out of 9,6 out of 10,5 out of 10,4 out of 9,5 out of 10,4 out of 10,4 out of 9,4 out of 10,7 out of 10,7 out of 9,7 out of 10,8 out of 10,8 out of 9,8 out of 10,5 out of 10,4 out of 9,5 out of 10,9 out of 10,9 out of 9,9 out of 10,5 out of 10,5 out of 9,5 out of 10,49,20
10085,Decatur,AL,35601,MORGAN,4 out of 10,0 out of 9,4 out of 10,7 out of 10,4 out of 9,7 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,3 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,31,20
10086,Winfield,AL,35594,MARION,5 out of 10,0 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,0 out of 9,6 out of 10,6 out of 10,4 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,29,20
10087,Mobile,AL,36617,MOBILE,3 out of 10,2 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,6 out of 10,4 out of 9,6 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,5 out of 10,1 out of 9,5 out of 10,27,20
10089,Jasper,AL,35502,WALKER,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,8,19
10090,Mobile,AL,36608,MOBILE,0 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,15,19
10091,Grove Hill,AL,36451,CLARKE,0 out of 10,0 out of 9,0 out of 10,8 out of 10,0 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,9,12
10092,Tuscaloosa,AL,35401,TUSCALOOSA,5 out of 10,2 out of 9,5 out of 10,3 out of 10,1 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,1 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,24,20
10097,Wetumpka,AL,36092,ELMORE,8 out of 10,6 out of 9,8 out of 10,8 out of 10,0 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,5 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,4 out of 9,6 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,44,18
10099,Brewton,AL,36426,ESCAMBIA,4 out of 10,1 out of 9,4 out of 10,7 out of 10,0 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,1 out of 9,4 out of 10,0 out of 10,4 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,37,19
10100,Fairhope,AL,36532,BALDWIN,7 out of 10,3 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,3 out of 9,5 out of 10,6 out of 10,4 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,9 out of 10,8 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,46,20
10101,Talladega,AL,35160,TALLADEGA,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,8,16
10103,Birmingham,AL,35211,JEFFERSON,5 out of 10,2 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,31,20
10104,Birmingham,AL,35213,JEFFERSON,5 out of 10,3 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,1 out of 9,6 out of 10,7 out of 10,5 out of 9,7 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,4 out of 9,5 out of 10,6 out of 10,1 out of 9,6 out of 10,42,20
10108,Prattville,AL,36067,AUTAUGA,5 out of 10,0 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,4 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,8 out of 10,6 out of 9,8 out of 10,4 out of 10,0 out of 9,4 out of 10,40,20
10112,Demopolis,AL,36732,MARENGO,3 out of 10,5 out of 9,5 out of 10,7 out of 10,4 out of 9,7 out of 10,3 out of 10,4 out of 9,4 out of 10,6 out of 10,8 out of 9,8 out of 10,1 out of 10,3 out of 9,3 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,35,14
10113,Mobile,AL,36607,MOBILE,5 out of 10,1 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,7 out of 10,5 out of 9,7 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,4 out of 10,1 out of 9,4 out of 10,32,20
10114,Bessemer,AL,35022,JEFFERSON,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,6,14
10118,Selma,AL,36701,DALLAS,0 out of 10,2 out of 9,2 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,4 out of 9,4 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,17,13
10120,Monroeville,AL,36460,MONROE,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,8 out of 10,5 out of 9,8 out of 10,5 out of 10,1 out of 9,5 out of 10,6 out of 10,4 out of 9,6 out of 10,69,20
10125,Haleyville,AL,35565,WINSTON,5 out of 10,3 out of 9,5 out of 10,5 out of 10,4 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,1 out of 9,1 out of 10,9 out of 10,8 out of 9,9 out of 10,6 out of 10,2 out of 9,6 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,31,18
10126,Troy,AL,36081,PIKE,4 out of 10,5 out of 9,5 out of 10,9 out of 10,9 out of 9,9 out of 10,8 out of 10,8 out of 9,8 out of 10,2 out of 10,3 out of 9,3 out of 10,7 out of 10,7 out of 9,7 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,4 out of 9,4 out of 10,1 out of 10,3 out of 9,3 out of 10,43,19
10129,Bay Minette,AL,36507,BALDWIN,5 out of 10,2 out of 9,5 out of 10,10 out of 10,0 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,4 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,43,20
10130,Pell City,AL,35125,SAINT CLAIR,7 out of 10,0 out of 9,7 out of 10,8 out of 10,0 out of 9,8 out of 10,8 out of 10,2 out of 9,8 out of 10,8 out of 10,0 out of 9,8 out of 10,9 out of 10,9 out of 9,9 out of 10,8 out of 10,5 out of 9,8 out of 10,6 out of 10,5 out of 9,6 out of 10,8 out of 10,8 out of 9,8 out of 10,62,20
10131,Huntsville,AL,35801,MADISON,4 out of 10,3 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,2 out of 9,5 out of 10,5 out of 10,2 out of 9,5 out of 10,7 out of 10,7 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,31,20
10139,Birmingham,AL,35209,JEFFERSON,2 out of 10,0 out of 9,2 out of 10,6 out of 10,1 out of 9,6 out of 10,1 out of 10,2 out of 9,2 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,2 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,27,20
10144,Mobile,AL,36608,MOBILE,1 out of 10,2 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,2 out of 9,2 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,17,17
10146,Jacksonville,AL,36265,CALHOUN,3 out of 10,0 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,1 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,19,19
